,id,title,type,release_year,lenght,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genre,country,imdb_score_level,tmdb_score_level
5790,tm1080406,"Barbie: Big City, Big Dreams",movie,2021,62,"animation, family",US,0,5.7,398,34.9,7.1,animation,US,Low score,High score
5791,tm1111717,L.O.L. Surprise! The Movie,movie,2021,47,"animation, action, family, fantasy, scifi, western",US,0,3.5,149,34.1,6.9,animation,US,Low score,High score
5792,tm1031448,Barbie & Chelsea: The Lost Birthday,movie,2021,60,animation,US,0,6.5364428,0,31.2,7.1,animation,US,,High score
5793,ts296059,Elite Short Stories: Carla Samuel,show,2021,14,"drama, romance",ES,1,6.8,2833,30.8,7.6,drama,ES,High score,High score
5794,tm1179605,Under Her Control,movie,2022,109,drama,ES,0,4.8,1582,23.9,5.4,drama,ES,Low score,Low score
5795,tm1223736,Chip and Potato: Chip's Holiday,movie,2022,24,"family, animation",CA,0,6.6,11,23.4,5.3,family,CA,High score,Low score
5796,tm1247471,Ivy + Bean: Doomed to Dance,movie,2022,57,"family, comedy",US,0,5.9,146,22.7,7.5,family,US,Low score,High score
5797,ts255779,Gabby's Dollhouse,show,2021,24,"comedy, family, fantasy, animation",US,7,7.2,531,21.7,8.2,comedy,US,High score,
5798,ts222864,Falling Into Your Smile,show,2021,44,"drama, comedy, romance",CN,1,8.3,2735,21.6,8.7,drama,CN,,
5799,tm1152224,Love Tactics,movie,2022,97,"comedy, romance",TR,0,5.2,4648,20.9,7.2,comedy,TR,Low score,High score
5800,tm1143319,The Witcher Season One Recap: From the Beginning,movie,2021,15,,,0,6.5364428,0,20.2,6.1,,,,High score
5801,ts364198,Club América vs. Club América,show,2022,50,"documentation, sport",MX,1,7.8,112,19.4,8.2,documentation,MX,High score,
5802,ts296129,Elite Short Stories: Guzmán Caye Rebe,show,2021,12,"crime, drama, thriller",ES,1,7.4,2419,17.9,8.1,crime,ES,High score,
5803,ts296069,Elite Short Stories: Omar Ander Alexis,show,2021,12,"drama, crime, thriller",ES,1,7.2,2040,17.6,7.6,drama,ES,High score,High score
5804,ts296091,Elite Short Stories: Nadia Guzmán,show,2021,11,"drama, romance",ES,1,6.2,1993,17.2,7.5,drama,ES,High score,High score
5805,tm1092892,Found,movie,2021,98,"documentation, drama","CN, US",0,7.5,1312,16.2,7.4,documentation,CN,High score,High score
5806,ts320557,Elite Short Stories: Patrick,show,2021,12,"comedy, drama",ES,1,6.1,839,15.9,6.9,comedy,ES,High score,High score
