,release_year,lenght,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,clusters
373,2010,167,0,7.1,18096,5.8,6.2,0
374,2008,109,0,6.8,1298,2.6,6.4,0
375,2009,138,0,7.6,32228,6.4,7.2,0
376,2003,88,0,5.6,52056,17.7,5.9,0
377,2008,101,0,5.8,73417,13.2,6.4,0
378,2001,224,0,8.1,111053,11.7,7.3,0
379,2006,88,0,5.8,31249,11.0,5.1,0
380,2005,82,0,7.3,999,2.2,6.7,0
381,2004,127,0,8.0,64031,10.8,7.3,0
382,2009,101,0,5.6,36318,10.3,5.8,0
383,2005,141,0,6.4,13588,7.7,6.2,0
384,2001,178,0,5.5,5307,5.3,5.8,0
385,2005,96,0,6.4,4634,31.8,6.6,0
386,2008,22,3,8.1,1645,24.3,8.6,0
387,2006,193,0,6.0,20614,23.8,6.4,0
388,2009,72,0,7.5,4596,8.7,7.3,0
389,2010,11,6,5.3,165,6.2,5.2,0
390,2003,175,0,6.5,15855,5.8,6.3,0
391,2007,85,0,3.2,17228,10.2,4.8,0
392,2008,145,0,6.5,15489,8.5,6.2,0
393,2009,113,0,4.6,10452,7.4,6.5,0
394,2010,108,0,7.5,106996,3.7,7.4,0
395,2006,95,0,6.3,4293,38.7,7.1,0
396,2003,10,7,6.4,104,21.1,6.0,0
397,2007,80,0,6.2,559,20.9,7.7,0
398,2007,162,0,6.7,45489,18.5,7.0,0
399,2009,61,2,7.8,1951,12.9,7.6,0
400,2008,213,0,7.5,33358,9.2,7.4,0
401,2008,109,0,6.8,2295,8.0,6.8,0
402,2001,183,0,8.1,73303,6.8,6.9,0
403,2008,144,0,7.7,22417,5.3,6.8,0
404,2010,129,0,5.6,8263,5.2,6.0,0
405,2009,155,0,7.1,10504,4.9,6.5,0
407,2008,90,0,6.8,4798,50.3,7.3,0
408,2009,95,0,7.0,3928,39.3,7.3,0
409,2004,106,0,5.7,15375,15.9,5.8,0
410,2010,113,0,6.3,10383,13.4,6.7,0
411,2004,179,0,7.0,37237,12.5,6.9,0
412,2006,116,0,6.5,61,7.8,6.4,0
413,2009,117,0,5.6,754,4.6,4.8,0
414,2010,95,0,5.3,5205,3.0,4.7,0
415,2006,72,1,8.7,1109,2.5,8.8,0
416,2004,113,0,6.6,7244,32.1,7.2,0
417,2009,46,3,6.5364428,0,18.2,8.6,0
418,2008,67,1,7.4,510,16.1,6.8,0
419,2004,186,0,7.8,23994,8.1,6.5,0
420,2005,126,0,4.7,5582,8.1,4.2,0
421,2008,97,0,6.8,272,2.2,7.4,0
422,2009,85,0,7.6,805,1.7,6.9,0
423,2010,100,0,6.5,70,1.3,6.629937,0
424,2005,88,0,7.2,2675,30.6,7.7,0
425,2004,88,0,7.2,1898,28.9,7.6,0
426,2004,114,0,6.6,3910,12.4,6.6,0
427,2006,97,0,5.8,10240,10.2,6.6,0
428,2008,110,0,6.6,2386,8.3,6.4,0
429,2010,135,0,7.1,12571,5.1,6.1,0
430,2007,167,0,5.1,2727,4.7,5.1,0
431,2005,44,1,6.8,148,3.8,5.8,0
432,2010,104,0,7.4,12464,3.8,7.3,0
433,2007,124,0,7.4,12291,3.7,6.4,0
434,2006,56,1,7.9,455,1.8,5.0,0
435,2004,80,0,6.4,762,1.5,5.2,0
436,2004,90,0,7.6,90,0.6,7.0,0
437,2003,99,0,7.6,2284,38.3,7.8,0
438,2002,100,0,7.3,2213,22.5,7.7,0
439,2007,99,0,5.2,717,12.2,5.1,0
440,2009,135,0,7.4,17495,6.7,6.8,0
441,2010,104,0,7.1,2746,4.2,7.0,0
442,2006,71,0,8.0,4053,4.2,6.6,0
443,2008,86,0,7.4,3099,3.9,6.7,0
444,2008,98,0,7.0,1699,3.4,6.7,0
445,2009,95,0,6.3,268,2.7,5.2,0
446,2004,120,0,7.2,3357,2.6,7.6,0
447,2007,117,0,6.5,150,1.4,4.6,0
448,2007,94,0,6.7,4321,90.6,7.4,0
449,2010,85,0,6.8,3894,56.2,7.0,0
450,2010,7,3,6.8,742,45.4,5.6,0
451,2007,90,0,6.8,1810,23.1,6.8,0
